Date,AMZN,GOOGL,AAPL,LLY,MSFT,FB,BRK-B,FCX,GS,MSCI
2019-06-03,1692.689941,1038.73999,43.325001,116.769997,119.839996,164.149994,198.559998,9.92,183.190002,216.25999500000003
2019-06-04,1729.560059,1054.48999,44.91,117.559998,123.160004,167.5,201.58999599999999,10.32,189.880005,224.830002
2019-06-05,1738.5,1044.640015,45.634997999999996,117.019997,125.83000200000001,168.169998,203.300003,10.1,188.440002,234.5
2019-06-06,1754.359985,1047.76001,46.305,117.5,127.82,168.330002,204.770004,10.19,189.809998,237.580002
2019-06-07,1804.030029,1068.369995,47.537498,118.349998,131.399994,173.350006,205.809998,10.35,189.809998,240.30000299999998
2019-06-10,1860.630005,1082.76001,48.145,113.93,132.600006,174.820007,207.16000400000001,10.61,194.119995,243.99000499999997
2019-06-11,1863.699951,1081.040039,48.702498999999996,112.209999,132.100006,178.100006,206.630005,10.62,194.729996,236.350006
2019-06-12,1855.319946,1079.099976,48.547501000000004,115.239998,131.490005,175.03999299999998,204.570007,10.59,190.220001,234.850006
2019-06-13,1870.300049,1091.01001,48.537498,111.82,132.320007,177.470001,204.990005,10.83,191.449997,234.82000699999998
2019-06-14,1869.6700440000002,1086.300049,48.185001,111.739998,132.449997,181.330002,205.16000400000001,10.65,191.66000400000001,235.77999900000003
2019-06-17,1886.030029,1093.890015,48.4725,113.400002,132.850006,189.009995,203.479996,10.74,190.830002,232.58999599999999
2019-06-18,1901.369995,1105.23999,49.612499,114.650002,135.16000400000001,188.470001,206.009995,11.13,194.979996,233.58999599999999
2019-06-19,1908.790039,1104.51001,49.467499,115.230003,135.690002,187.479996,206.75,11.19,195.639999,236.649994
2019-06-20,1918.189941,1113.199951,49.865002000000004,115.559998,136.949997,189.529999,208.03999299999998,11.38,195.699997,237.440002
2019-06-21,1911.300049,1125.369995,49.695,115.489998,136.970001,191.139999,206.21000700000002,11.34,195.940002,232.399994
2019-06-24,1913.9000239999998,1116.699951,49.645,115.629997,137.779999,192.600006,206.850006,11.34,197.490005,235.00999500000003
2019-06-25,1878.27002,1087.579956,48.892502,115.360001,133.429993,188.83999599999999,208.070007,11.34,196.059998,230.75
2019-06-26,1897.8299559999998,1080.319946,49.950001,111.339996,133.929993,187.66000400000001,208.509995,11.49,197.009995,231.520004
2019-06-27,1904.280029,1076.630005,49.935001,111.470001,134.149994,189.5,212.020004,11.56,199.320007,234.100006
2019-06-28,1893.630005,1082.800049,49.48,110.790001,133.96000700000002,193.0,213.169998,11.61,204.600006,238.789993
2019-07-01,1922.189941,1100.0,50.387501,112.739998,135.679993,193.0,214.61999500000002,11.45,206.860001,240.50999500000003
2019-07-02,1934.310059,1112.599976,50.682499,114.199997,136.580002,195.0,214.539993,11.45,205.979996,244.580002
2019-07-03,1939.0,1122.98999,51.102501000000004,114.41999799999999,137.46000700000002,197.199997,215.16000400000001,11.31,206.03999299999998,245.57000699999998
2019-07-05,1942.910034,1132.670044,51.057499,112.82,137.059998,196.399994,215.25,11.29,207.899994,242.289993
2019-07-08,1952.319946,1116.790039,50.005001,111.519997,136.96000700000002,195.759995,215.13000499999998,11.22,205.75,234.69999700000002
2019-07-09,1988.300049,1124.290039,50.310001,113.08000200000001,136.46000700000002,199.21000700000002,214.75,10.87,207.770004,238.0
2019-07-10,2017.410034,1140.910034,50.807499,114.529999,137.850006,202.729996,214.02999900000003,10.95,205.970001,238.0
2019-07-11,2001.069946,1144.079956,50.4375,109.82,138.399994,201.229996,213.169998,11.1,211.350006,240.27999900000003
2019-07-12,2011.0,1145.339966,50.825001,108.290001,138.899994,204.869995,214.100006,11.02,213.940002,245.11999500000002
2019-07-15,2020.9899899999998,1150.51001,51.302502000000004,108.470001,138.899994,203.91000400000001,213.539993,11.14,211.580002,245.19999700000002
2019-07-16,2009.9000239999998,1153.459961,51.125,108.82,137.080002,203.83999599999999,212.88000499999998,11.12,215.520004,241.57000699999998
2019-07-17,1992.030029,1146.73999,50.837502,107.089996,136.270004,201.800003,207.449997,11.06,213.30000299999998,241.580002
2019-07-18,1977.9000239999998,1147.23999,51.415001000000004,108.339996,136.419998,200.779999,207.979996,11.15,214.520004,245.729996
2019-07-19,1964.52002,1131.550049,50.647498999999996,106.790001,136.619995,198.360001,205.970001,11.49,213.520004,240.979996
2019-07-22,1985.630005,1139.209961,51.805,107.269997,138.429993,202.320007,204.83999599999999,11.49,214.0,240.58999599999999
2019-07-23,1994.4899899999998,1148.050049,52.209998999999996,108.220001,139.28999299999998,202.360001,206.46000700000002,11.65,219.42999300000002,235.61000099999998
2019-07-24,2000.810059,1139.72998,52.1675,108.519997,140.720001,204.66000400000001,207.970001,11.94,222.02999900000003,232.25
2019-07-25,1973.819946,1135.939941,51.755001,107.82,140.190002,200.71000700000002,207.899994,11.42,219.979996,231.88999900000002
2019-07-26,1943.050049,1245.219971,51.935001,108.269997,141.33999599999999,199.75,209.899994,11.56,222.13999900000002,237.270004
2019-07-29,1912.449951,1241.839966,52.419998,108.720001,141.029999,195.940002,208.610001,11.61,220.32000699999998,232.36999500000002
2019-07-30,1898.530029,1228.0,52.195,108.690002,140.350006,197.03999299999998,207.809998,11.47,221.399994,227.88000499999998
2019-07-31,1866.780029,1218.199951,53.259997999999996,108.949997,136.270004,194.229996,205.429993,11.06,220.13000499999998,227.24000499999997
2019-08-01,1855.319946,1211.780029,52.107498,110.510002,138.059998,192.729996,201.71000700000002,10.7,211.600006,225.330002
2019-08-02,1823.2399899999998,1196.319946,51.005001,112.41999799999999,136.899994,189.020004,202.669998,10.3,209.369995,220.17999300000002
2019-08-05,1765.130005,1154.75,48.334998999999996,108.709999,132.21000700000002,181.729996,197.729996,10.07,201.679993,209.240005
2019-08-06,1787.8299559999998,1171.079956,49.25,111.400002,134.690002,184.509995,200.550003,10.14,206.009995,214.33999599999999
